text,label
"Dès les premières pages, on peut constater un problème de méthodologie dans les résultats, quand bien même on pourrait le prendre comme une simple mise en bouche de l'opinion publique.",none
"@maxvandewiele penser qu’il y a trop d’immigrés n’est pas du racisme, l’immigré n’est pas une « race » Et ils peuvent s’appuyer sur des arguments économiques; culturels, patrimoniaux pour avancer cette pensée Donc pas du racisme",none
@dv.antoine c'est magnifique ce que tu dis parce que c'est faux.,bullying
@maxvandewiele en quoi?,none
"@dv.antoine content que tu pose la question : une opinion qui prône ouvertement qu'un individu ou un groupe non issu de son milieu/communauté, on va pas se mentir, c'est pas très ouvert comme mentalité. Qui plus est quand ça cherche à démontrer via des chiffres ou des arguments, pertinent ou non. Les statistiques ici ne cherchent pas à consolider une affirmation, au contraire, ici ça cherche à développer autour d'une question à caractère simple. Ton opinion est de facto raciste car tu cherche à justifier des propos qui encense une politique nationaliste, quand elle n'est pas isolationniste voire separatiste. À toi de voir maintenant si c'est encore pertinent de maintenir ce que tu cherche à avancer, ou tu peux juste accepter que oui, il n'y a pas besoin de compas idéologique pour voir du racisme dans des propos raciste.",none
"@maxvandewiele mdrrrr donc selon toi nationalisme = racisme Donc pour toi, ne pas accueillir tous les immigrés = racisme ? Tu connais les frontières ?",bullying
"Les marocains ont bien brûlé des caisses quand ils ont gagné contre l’espagne, chacun montre sa joie a sa façon ^^",none
@robin.glck42 donc il on le droit de montrer leur joie en allant tabasser l’autre camp,racism
@anis.benn7 comment ça ?,none
@anis.benn7 laisse il fais trop l’aveugle ce guignol de francais,bullying
@vinz_m78 Alors parcontre le racisme c’est pas ouf ouf,bullying
"@robin.glck42 bah là pour montrer leurs ""joie"" comme tu dit ils sont partis tabassés des supporters marocains qui étaient isolés",bullying
@atxm.tr c’est exactement ce a quoi j’ai fait référence,none
@robin.glck42 ah bah t’es tout simplement dénué d’humanité hyn,bullying
@atxm.tr pourquoi donc?,none
@robin.glck42 Tu ose comparé le fait que des gens brûlent des voitures et le fait que des personnes qui n’ont rien demandé ce fassent tabassés,bullying
"@atxm.tr les gens qui se sont fait brûler leurs voitures n’ont rien demandé non plus, certains ont du perdre énormément d’argent (avc l’assurance et les jours sans pouvoir aller au travail), perso on m’a déjà brûlé mon véhicule a nouvel an, j’ai perdu mon emploi, énormément d’argent, et beaucoup de temps",none
"@robin.glck42 Donc un innocent a subit un préjudice, la solution est d’attaquer d’autres innocents qui ont la même tête que les coupables plutôt que seulement les individus coupables …? Triste",bullying
@robin.glck42 et cela ne justifie en rien d’en arriver aux mains,none
"@ouverture_d_infos non, c’est une action individuelle je supose? Personnellement je trouve que les 2 actes n’avait pas lieux d’être",none
"@atxm.tr oui j’ose comparé que des gens innocents se fassent brûlé leurs moyens de transport et se retrouve pénalisé au quotidien pendant plusieurs mois, et une descente ou des personnes ont été violentés?",none
@robin.glck42 et bah effectivement tu est dénué d’humanité,bullying
@vinz_m78 pourquoi tu as besoin de préciser qu'il est français ? ta un problème avec les français ?,bullying
@robin.glck42 Bien sûr que les 2 actes n’ont pas lieu d’été. Mais vous semblez légitimer celui des gens d’extrême-droite,none
"@ouverture_d_infos je n’en légitime aucun des deux, sinon je suis d’accord avec votre commentaire",none
@robin.glck42 « les marocains ont bien brûlé […] chacun montre sa joie à sa façon »… ça porte à confusion…,none
"@ouverture_d_infos Dutout, justement jr dis que les 2 ont bien la même façon de penser",bullying
@robin.glck42 Dans ce cas là d’acc 👌👍,none
@alexandreperrichot nan mais vous avez trop un problème avec les étrangers alors que la france est partit piller et tuer ces pays là guignol donc ferme la,bullying
@vinz_m78 toi t’as arrêté l’histoire en 3e et apres t’as suivis les cours combini,bullying
@robin.glck42 non je dit juste la vérité encore un français qui connais pas l’histoire de sont pays justement tu fais trop l’aveugle,bullying
@vinz_m78 et non les français non rien contre les étrangers d'ailleurs on travaille avec et on en fait venir sur notre territoire plus que n'importe quelle pays depuis des siècles,none
@vinz_m78 Désolé j’ai du rater mes 2 années de fac d’histoire ducoup :/,bullying
"@alexandreperrichot le pire c’est qu’il s’appelle vincent mdrrr et il dit ""l’autre français"" @vinz_m78",hate_speech
"Je suis un homme et j'ai l'impression de mieux connaitre le terme ""féminisme"" que la plupart d'entre vous... ça fait peur certains commentaires... j'ai l'impression que vous ne cherchez pas l'égalité mais le jugement en pointant du doigt des situations qui vous sont arrivées pour donner du crédit à un mouvement de haine envers l'homme. La pensée d'un homme ""normal"" ps: sinon la publi est bien 👍😅",sexism
"@julien_cinhey Je connais la définition du féminisme merci. Je vais t'en donner une autre."" Mansplaining: c’est quand un homme explique à une femme d’un ton condescendant, sur un sujet qui la concerne elle, qu’elle a tort de penser ce qu’elle pense, de dire ce qu’elle dit."" On parle d'une situation que TOUTES les femmes ont connues, connaissent ou connaîtrons. Alors qu'un homme à peu de chance de la vivre. On veut l'égalité. Donc on veut, comme un homme avoir cette infime chance que ça nous arrive. Bonne nuit "" Homme normal""😂",sexism
@demoiselleamienoise le sujet nous concerne tous 🤦‍♂️ et visiblement ce n'est pas moi qui ai besoin de sommeil. Quand tu seras reposé essaye de comprendre le message 🙏 merci pour la def je ne la connaissais pas même si elle est hors contexte tu l'illustre plutôt bien 👍,sexism
"@julien_cinhey J'ai parfaitement compris ton message. A savoir que tu estime que les gens ici ne cherche qu'à crée un conflit, pour un ""mouvement de haine vers les hommes"". Ce qui est faux, ils s'agit de témoignages qui appuis cette publi. Bizarrement, je ne t'ai par contre pas vu interpeller les quelques Trolls qui eux étaient réellement là pour chercher un conflit...et qui eux, ne connaissent pas cette fameuse définition....",sexism
"@demoiselleamienoise ""les gens ici ne cherche qu'à"" ce ne sont pas mes propos. Bref. Les réseaux sociaux quoi... bonne journée 🖐",bullying
"@julien_cinhey "" j'ai l'impression que vous ne chercher pas l'égalité mais le jugement en pointant du doigt des situation...donner du crédit à un mouvement de haine envers les hommes"" ce sont bien tes mots non?Ne joue pas dessus donc, tu as dis la même chose de manière détourner mais ça ne change rien. Si tu pense que témoigner de notre vécu signifie créer un mouvement de ""haine envers les hommes"" c'est que tu n'as rien compris ou que tu as un truc à te reprocher....dailleurs ton ""homme normal"" n'avait aucun besoin d'être ajouter si vraiment tu comprenais.",bullying
"@demoiselleamienoise tu n'as rien compris 🤦‍♂️ et tu interprètes bizarrement les choses. J'ai donc une question à te poser. Penses tu, aujourd'hui, que certains hommes sont pointés du doigt à cause d'actes d'autres hommes? En ce qui me concerne je vois le féminisme comme une bonne chose. Ce qui me fait peur c'est son détournement. Ce qui était l'objet de mon message initial. Autour d'un verre c'est tellement plus simple 🤦‍♂️ d'ailleurs 13h10... j'te laisse 🍺",bullying
Vous êtes tous lamentable à vous plaindre pour rien mais c'est les réseaux sociaux ça,bullying
@lamya_zouine bon déjà tu t'es auto like donc c'est rigolos et tu ne vivras jamais le centième de ce que j'ai vécu donc arrête d'essayer de te faire plaindre comme si tu avais la vie la plus horrible juste parce que on te siffle,bullying
@lamya_zouine et je pense que tu as pas plus de 20 ans comme les 3/4 des meufs qui ont aucun vécu,sexism
"@njordignir_ bah déjà sa arrive de pas faire gaffe de se liker mdr, et après quand on te siffle h24, qu'on te touche les fesses ect même si c'est pas la mort c'est quand même quelque chose qui devrait plus exister",none
"@njordignir_ oui j'ai 15 ans et ? Même si j'ai pas vécu ça personnellement, j'ai h24 peur d'être dans la rue, j'ai peur des gars très clairement, que si il me parle, qu'il me suive, qui force poir que je lui passe mon 06 et autre",none
"@njordignir_ et on a souvent forcé sur les réseaux, jeux en lignes pour avoir mon snap etc même après avoir dit que jz le passait pas, que j'étais pas intéressé ect",none
@lamya_zouine juste il faut arrêter moi aussi quand je vais dans la rue j'suis pas confiant rien avoir avec le fait d'être un homme ou une femme je peux aussi bien me faire éclater,none
@lamya_zouine après jsuis désolé de te dire ça mais malheureusement les abrutis dans ce genre il y en a pour longtemps encore,none
"@njordignir_ oui et malheureusement mais le pire c'est que si c'est dans ma rue/transport en commun ect presque personne réagi à se genre de comportement, et perso même si j'étais un homme je n'aurais jamais aussi peur que les filles, je trouve pas normal que à 15 ans j'ai déjà peur de marcher dans la rue.",none
"@njordignir_ et j'ai pas peur de me faire éclaté, j'ai peur que un gars vienne me voir, qu'après un refus il insiste, qu'il me suive ect, à chaque fois que je croise un gars qui me regarde je me met sur mes gardes,aussi sa met déjà arriver qu'un gars en voiture ralentisse à mon niveau et me regarde, j'ai tellement eu peur qu'il fasse demi tour que j'ai spritter jusqu'à chez moi",none
