Line,created_at,user_id,text,label,label2,to be removed,merged_labels
3631,Sun Dec 18 08:54:57 +0000 2022,3778501,"RT @MSolidarites: 🔥 C'est aujourd'hui 🔥
 
 Rendez-vous à 11h Porte de la Chapelle pour la Journée internationale des migrant·e·s : Manifestat…",None,None,,None
5234,Sun Dec 18 08:04:43 +0000 2022,12700192,@ptiloup44 @CarrPatrick2 Pourquoi MENTEZ-VOUS en l'accusant de harcèlement ce qui est de la pure diffamation ? Il n… https://t.co/Q7f1yD0tR5,harassement,Harassment,,Harassment
5297,Sun Dec 18 08:02:33 +0000 2022,15657767,RT @RAbsolument: Espagne : Un migrant Marocain détruit une crèche de Noël à Calahorra au marteau https://t.co/0AaQRL4Iws,None,None,,None
4477,Sun Dec 18 08:31:26 +0000 2022,15856141,@ajplusfrancais Comment un migrant arrivant d'Algerie peut être discriminé en France et surtout dans le 9-3 ?,None,Racism,,Racism
4761,Sun Dec 18 08:21:48 +0000 2022,17654549,@Charononia Gros cadeau ça !,None,None,,None
4133,Sun Dec 18 08:41:44 +0000 2022,19062473,"Putain, qu'est-ce ce que tu me manques. La vie, la pute. https://t.co/RABhpDWMbD",None,None,,None
3703,Sun Dec 18 08:53:19 +0000 2022,"1,52E+18",@F_Desouche Encore un patrimoine qui va partir en fumée. J’espère qu’ils ont prévu une salle de prière islamique ! #stopimmigration #Migrant,,None,,None
5078,Sun Dec 18 08:10:27 +0000 2022,21706821,@RFI Seuls les gros connards vont regarder ce lamentable spectacle de la honte.,,Insult,,Insult
4090,Sun Dec 18 08:43:09 +0000 2022,21706821,"@lestrepublicain - gros con.
 - ordure
 - fumier
 - inhumain
 - complice de crimes
 
 #deRien",Insult,Hate speech,,Hate speech
4657,Sun Dec 18 08:25:09 +0000 2022,22292986,"RT @MSolidarites: 🔥 C'est aujourd'hui 🔥
 
 Rendez-vous à 11h Porte de la Chapelle pour la Journée internationale des migrant·e·s : Manifestat…",None,None,,None
4787,Sun Dec 18 08:20:27 +0000 2022,23927252,⚪Ⓜ️ Argentine-France : gros déséquilibre en tribune #TeamOM 👇 https://t.co/TLI10fEL2W,None,None,,None
4788,Sun Dec 18 08:20:26 +0000 2022,28328569,Argentine-France : un troisième titre qui peut rapporter gros #Girondins https://t.co/EChAX8DSlp,None,None,,None
5119,Sun Dec 18 08:09:06 +0000 2022,29527082,"RT @F_Desouche: Cabriès (13) : une étudiante de 22 ans qui venait de terminer son service à Burger King, poignardée à mort sans raison par…",None,None,,None
