id,text,created_at,user_id,Label
52629,"- l'expérience des migrant·es avec @AntoineRoblain
https://t.co/x3KSTzppuj",Sun Dec 18 10:00:43 +0000 2022,1.12E+18,None
52448,"""Bonnes vacances avec les enfants ! Gros bisous"" https://t.co/5a9vADRtNQ",Sun Dec 18 10:05:00 +0000 2022,414631544,None
53081,"""Chanter"" tu ne prie pas... un gros NTM SALE PVTE https://t.co/1wv7ZotG8y",Sun Dec 18 09:50:47 +0000 2022,1.55E+18,Hate_Speech
53682,"""Elle dit qu'il y a des place vacantes,quand on va voir ces places on te sort,soit qu'il faut faire un bac +30 avec… https://t.co/oGeVRu7q7U",Sun Dec 18 09:37:21 +0000 2022,8.47E+17,None
52605,"""Tout niquer"". c'est classique chez un adolescent de 14 ans.
C'est beaucoup plus problématique chez un vieux comme… https://t.co/AjXyUUhL3p",Sun Dec 18 10:01:20 +0000 2022,9.33E+17,None
52515,"#1BDparjour dimanche comics ras du front avec ""Ultimates : Ultimatum"" de  J.Loeb &amp; D.Finch.
Magnéto décide de détru… https://t.co/wPP9CQVoFv",Sun Dec 18 10:03:32 +0000 2022,459282414,None
53725,"#CalendrierDeLAventKMuisic Au début J’avais mis « beau » mais tous les MV des gros labels sont beaux…🤔

Donc je vou… https://t.co/WfplLsb2g8",Sun Dec 18 09:36:25 +0000 2022,1.49E+18,None
51900,"#DeRugy… « fervent » écologiste, retourneur de veste patenté, tête a claque absolu et faux-cul intégral. En gros, u… https://t.co/SmU1pzyxuU",Sun Dec 18 10:17:19 +0000 2022,405010877,Hate_Speech
53385,#FRAARG d'un côté des Argentins qui ont été favorisé par l'arbitre et triché à de nombreuses reprises + simulations… https://t.co/b0BK4KdhIC,Sun Dec 18 09:44:15 +0000 2022,1.43E+18,None
53623,"#KSPAvent j18 : Moche

BureauCraft Design présente : son dernier prototype de citerne de terrain. Très gros travail… https://t.co/X3uwb6nyFU",Sun Dec 18 09:38:42 +0000 2022,413118261,None
54459,"#RDC 🇨🇩 les peuples d’abord mais c sont les politiciens qui ont des gros moyens et investissent à l’étranger 

Bo t… https://t.co/5SAND1tN1r",Sun Dec 18 09:16:44 +0000 2022,1.60E+18,None
51914,"#Ukraine Je continue ce matin à publier sur la bataille de Bakhmut et le reste du conflit.
C’est sur le gros (adres… https://t.co/6q66eGba9N",Sun Dec 18 10:16:49 +0000 2022,7.76E+17,None
53674,"#UnJeuParJour 18/12
Dimanche niveau expert😆
Mon préféré gros jeu, que tu ouvres quand il pleut (sigh) Tapestry💝
On… https://t.co/0G9n3a7y75",Sun Dec 18 09:37:33 +0000 2022,1.27E+18,None
54579,(4/4) Explore our quantitative data and expert analyses on migrant integration: https://t.co/VJQhQminAZ,Sun Dec 18 09:13:59 +0000 2022,1.17E+18,None
54303,(France 3): Solidarité. Un village se mobilise pour aider un réfugié ukrainien qui marche plus d'une heure chaque #… https://t.co/r4JW1bA9Bn,Sun Dec 18 09:20:47 +0000 2022,786625296,None
52281,*poste SA MERE LES GROS DOIGTS,Sun Dec 18 10:08:55 +0000 2022,3081942100,Sexism
51993,"?idiote :

Pour cacher quoi au final ?
🤔
ses grandes oreilles ? 
ses grosses mains ? 
son gros menton ?
ses Cuisses… https://t.co/2edLiFunL8",Sun Dec 18 10:15:04 +0000 2022,1.55E+18,Bullying
53411,@__Verlaine__ @sandrousseau bourgeoise blanche hetero de gauche,Sun Dec 18 09:43:46 +0000 2022,1.24E+18,Hate_Speech
