ID,Text,Label
0,@ActuFoot_ @Betclic Raclé contre ce pays qui a réfugié des milliers de nazis et qui a décimé sa population noir.,None
1,"RT @realmarcel1: L'enchaînement du gros plan sur l'énorme lustre allumé en pleine journée et  «  la sobriété, ça fonctionne   » dans cette vidé €¦",None
2,@Acermendax Je note que pour certain dénoncer un harcèlement c'est signe de collaborations ...  (Du coup pour avoir €¦ https://t.co/NMQLAl9eje,None
3,RT @IlanLamar: @Cdanslair Le gros problème chère madame c'est que les populations sont de plus en plus informées et en plus ont eu accès au €¦,None
4,RT @ricofiascojr: @AmraneHB @Marvel_Fit Aux USA c'est eux qui font que avoir de plus en plus de gros,None
5,"RT @ottou_sydney: Yaoundé aime les mariages avec les gros titres.
Il vient d'où ?
Ses parents font quoi?
Il a quel poste?",None
6,le daron est tlm gros quan il bat ma daronne il proc une stack d'Hearthsteel le batar,Hate_Speech
7,"RT @HomoSap60422481: @IvaMasson Tous virés de leur taff, tous radiés par l'ordre,  tous passés chez ce gros con d'hanouna. 

Autre point co €¦",Hate_Speech
8,@benoit_joseph @KemiSeba1 Lorsque c'est Kemi Seba c'est business lucratif mais lorsque c'est vos chaînes de propaga €¦ https://t.co/QxMhkpc5u9,None
9,"@AlfredDupont16 @antimacron_amgr Voilà , avec vous j'ai un bon exemple!
Je ne suis pas d'accord avec vous et je me f €¦ https://t.co/j9rZhmUqzC",None
10,@brnoteasy T'as un gros ventre,Hate_Speech
11,"RT @HeurafoodsFr: L'un des plus gros mythes perpétués par l'industrie de la viande animale, c'est de faire croire que manger de la viande l €¦",None
12,"RT @QuentinOwona007: Les filles qui ont les gros seins pensent qu'elles peuvent nous contrà´ler Lol 
tout d'abord vous avez raison mais....ðŸ¤” €¦",Sexism
13,@QuisutDeus777 @F_Desouche @edwyplenel joue gros https://t.co/FFkBWTagQC,None
14,@MedhiiDrd @heyomeech956 Mdrr le poto ils disaient en gros que l'argentine represente le plus le pays parce que pou €¦ https://t.co/ezNhdhvJ7t,None
15,"RT @victoireKeravel: STOP aux détracteurs qui disent que j'exagère sur les dealers, délinquants  à  #Nantes regardez la vidéo prise cet hive €¦",None
16,@seoklynereal MDR WESH GWEN T'à‰TAIS UNE CONNASSE,Hate_Speech
17,RT @natbij01: @anchara_ J ai vuq un témoignage aussi ca fait de gros dégà¢ts sur l estomac et le tube digestif,None
18,"RT @SergeZaka: [Thread] L'épisode de froid se termine : aucune coupure d'électricité, aucune caractéristique d'une vague de froid, aucun re €¦",None
19,@PierreVLToff @MehdiGhezzar @GG_RMC @CharlesConsigny @Olivier_Truchot @AlainMarschall @RMCInfo Le gros bouffon des €¦ https://t.co/KNbL7fu3hn,Hate_Speech
20,"@OtabelaThierry @lasource75006 Tout nos joueurs sont née en France 
Alors garde des commentaires de gros tas de merde pour toi",Hate_Speech
21,"RT @MilovanCavor: Vivant il y a ~25 millions d'années, l'ancàªtre de tous les félins était un (gros) chat: proailouros (~1 mètre, ~10 kg) ht €¦",None
22,"RT @Lass2fois: La 3e étoiles ou rien, fuck l'Argentine et ses gros suceurs",Sexism
23,"RT @Lass2fois: La 3e étoiles ou rien, fuck l'Argentine et ses gros suceurs",Sexism
24,@AMBROISEJr2 @LucaVaran @tikylol @fadelabdellaoui @parleluidemoi @sweetnshour @350uda c'est juste le plus gros suce €¦ https://t.co/NAd1qQy37r,Sexism
25,"RT @SCCR_212: GROS GROS GROS BIG UP au public qui s'est déplacé au Qatar ðŸ‡¶ðŸ‡¦ 

Vous avez été énorme et exemplaire ! ðŸ‘ ¤ï¸ðŸ‡²ðŸ‡¦ https://t.co/4ZHbY €¦",None
26,RT @couchloukoum__: Dans le dossier harcèlement dans la télé-réalité on a pas assez parlé du cas Anais sur Martika,None
27,RT @Some_Writer_Cat: Parce que la basiquement une meuf dit qu'elle a honte de sa barbe et les réponses c'est qu'elle devrait tenter le lase €¦,Sexism
28,Hahaha super idée. Deschamps mérite un milliard de fois la victoire et les honneurs. Il représente la France mieux €¦ https://t.co/wal5TlMFxb,None
29,@amthnl @qkjsgfze tu dis ça mais tu l'es des gros mots dans la màªme phrase ou tu cites Ø§Ù„Ù„Ù‡,None
30,RT @dracarys_eN: @arzoc13 @heyomeech956 en gros Mbappé est selon lui trop foncé pour représenter la France comme il se doit,Racism
31,"RT @SergeZaka: [Thread] L'épisode de froid se termine : aucune coupure d'électricité, aucune caractéristique d'une vague de froid, aucun re €¦",None
32,RT @syylllia: Gros MINUIT ??? on va connaître les champions du monde avant miss France à  ce rythme,None
33,"RT @SergeZaka: [Thread] L'épisode de froid se termine : aucune coupure d'électricité, aucune caractéristique d'une vague de froid, aucun re €¦",None
34,RT @syylllia: Gros MINUIT ??? on va connaître les champions du monde avant miss France à  ce rythme,None
35,RT @so_mkb: Je vous demande rarement mais là  c'est hyper important alors que t'es un gros compte ou pas je me permets de te demander de ret €¦,None
36,wsh y'a des meufs qui ont vraiment un gros cul la chance,Sexism
37,RT @ihategu: écoute moi bien la sale pute qui a cassé la gueule a ma mère enceinte qui va au lycée fustel de coulange a massy dans le 91 je €¦,Sexism
38,"RT @jjdenoual: @BilgerPhilippe @lequipe Dans un pays de dormeurs, plus c'est gros et plus ça passe, c'est aussi ça la chienlit institutionn €¦",None
39,RT @so_mkb: Je vous demande rarement mais là  c'est hyper important alors que t'es un gros compte ou pas je me permets de te demander de ret €¦,None
40,"RT @CedricMas: #Ukraine Je continue ce matin à  publier sur la bataille de Bakhmut et le reste du conflit.
C'est sur le gros (adressé dans m €¦",None
41,RT @MarleneSchiappa: Le harcèlement en meute infligé par des militants à  une femme qui a simplement osé faire valoir son droit à  vivre sans €¦,None
42,joueurs prometteurs de la scène. Franchement si l'idée est un gros flop calculez màªme pas mon tweet mais si vous pe €¦ https://t.co/0tOnXvhDE0,None
43,"Donc pour i24 et des journalopes et les gros médias lèche bonbon, àªtre militant pour contre l apartheid fait de lui €¦ https://t.co/VZCXERt18y",Hate_Speech
44,"RT @LeaFrct: Ma petite sÅ“ur de 20 ans étudie à  #Bordeaux, elle vient de me raconter sa soirée après France-Maroc. Elle a croisé la route de €¦",None
45,"@pepessi_goat en vrai la date de la finale avait été annoncée en mars 2015, il a juste prédit que Messi (meilleur j €¦ https://t.co/laDijVHW1o",None
46,Gros film d'intello ce matin https://t.co/uqx9OCd8l1,None
47,@Etleau @henni_mo Jamais tu ferme ta guele espèce de gros fdp,Bullying
48,@AidelZack Vu que tu me trouve trop grosse pour rester avec moi j'espère que tu finiras très gros et que des gens te feront la réflexion,Bullying
49,@TeddyJeanMarie1 Gros il fou la haine il parle et il gagne mdr,None
50,"@FabRaynal @vaesen_roland C'est tout ce qui reste en magasin aux fantoches, ambianceurs, poissonniers et comiques d €¦ https://t.co/wKT9PLkGN5",None
51,"RT @realmarcel1: L'enchaînement du gros plan sur l'énorme lustre allumé en pleine journée et  «  la sobriété, ça fonctionne   » dans cette vidé €¦",None
52,@Chehvalry Ya des gens dans la communauté naruto ils sont trop debile,Bullying
53,@SandraOrchidee Tu as entièrement raison bonne journée gros gros bisous  ¤ï¸ ¤ï¸ ¤ï¸ ¤ï¸,None
54,@printempsrepub C'est qui ??,None
55,@linda_vronsky @sandrousseau La gauche française deporterait les français pour loger le Saint Migrant chez les particuliers,None
56,"RT @realmarcel1: L'enchaînement du gros plan sur l'énorme lustre allumé en pleine journée et  «  la sobriété, ça fonctionne   » dans cette vidé €¦",None
57,RT @Louuve71: @its_elisha_ Elle veut que du buzz vous lui donne ce qu'elle veut elle c'est très bien ce qu'elle fait elle se fou de votre G €¦,Hate_Speech
58,Le plus gros poisseux de l'histoire c'est lui. Mettez tout votre argent sur la France. C'est écrit https://t.co/r7jh2yLrum,Hate_Speech
59,mais vegedream est trop en retard. il a manquait l'occasion d'avoir un gros chèque,None
60,"RT @Lass2fois: La 3e étoiles ou rien, fuck l'Argentine et ses gros suceurs",Hate_Speech
61,@totozzpich2 @DDoouww @_BeFootball bah t'as le droit de pas l'aimer mais l'insulter de grosse pute pour rien = t'es aigri mec,Sexism
